date,open,high,low,close,adjclose,volume
2025-04-15,123.6000,126.5700,123.0500,124.4700,124.1105,3606700
2025-04-16,123.9000,126.3000,122.2500,123.9300,123.5720,2864000
2025-04-17,123.5800,125.1400,122.9600,123.2300,122.8741,2189000
2025-04-21,122.4900,122.9900,118.0900,119.4700,119.1249,2008200
2025-04-22,121.2900,125.0200,121.0700,124.3000,123.9410,2234600
2025-04-23,129.1900,132.3100,127.5100,129.7000,129.3253,2931400
2025-04-24,129.2800,134.3400,129.2800,133.4900,133.1044,2224200
2025-04-25,134.3000,136.4600,133.7400,135.7600,135.3679,1603300
2025-04-28,138.2700,139.6100,135.0600,136.3500,135.9562,2878600
2025-04-29,136.0000,138.4100,135.7500,137.5000,137.1029,2450100
2025-04-30,135.1000,138.9700,134.8100,138.5800,138.1797,3140900
2025-05-01,146.4600,150.4800,144.7100,148.0300,147.6024,4819600
2025-05-02,150.2100,154.7300,150.2100,154.0700,153.6250,3651800
2025-05-05,153.0700,155.5900,152.8200,154.3400,153.8942,1881900
2025-05-06,151.3200,156.8000,150.6300,155.8000,155.3500,2646400
2025-05-07,155.6300,157.4300,154.3100,157.1200,156.6662,2908100
2025-05-08,158.6900,159.0400,157.0500,157.5000,157.0451,2806200
2025-05-09,157.9000,158.9700,154.7200,157.4100,157.0551,2232500
2025-05-12,160.6200,161.5800,155.6100,156.9600,156.6061,4990400
2025-05-13,156.6200,160.1400,155.2200,158.3000,157.9430,3635300
2025-05-14,158.7900,160.8300,158.1200,159.4600,159.1004,3504800
2025-05-15,159.0000,161.7200,159.0000,161.2900,160.9263,4660500
