month,year,gold,m2,real_gold,fair_money,z_full_money,pct_rt_ratio,pct_rt_real,fwd_5y,fwd_10y,gold_vs_fair_pct
1971-12,1971,43.485714,710.3,353.33677,103.502678,-2.229013,,,0.252196,0.251565,-0.579859
1972-12,1972,63.909474,802.3,502.181095,114.986339,-1.509749,,,0.20214,0.213977,-0.444199
1973-12,1973,106.719444,855.5,771.410647,121.544096,-0.334349,,,0.142601,0.137882,-0.121969
1974-12,1974,183.85,902.1,1182.987961,127.242721,0.94599,,,0.198742,0.057037,0.444876
1975-12,1975,139.3025,1016.3,838.204477,141.043599,-0.031928,,,0.336904,0.087362,-0.012344
1976-12,1976,133.8775,1152.1,768.190015,157.183571,-0.412531,,,0.250935,0.11311,-0.148273
1977-12,1977,160.45,1270.4,862.843775,171.032608,-0.16418,,,0.22593,0.117252,-0.061875
1978-12,1978,207.834211,1366.1,1025.209014,182.107265,0.339673,,,0.133183,0.072641,0.141274
1979-12,1979,455.084375,1473.9,1981.438555,194.456583,2.185595,,,-0.067917,-0.010527,1.340288
1980-12,1980,594.921053,1599.9,2302.144558,208.736332,2.692189,,,-0.115601,-0.044607,1.850108
1981-12,1981,410.092105,1755.5,1456.92637,226.161733,1.529762,0.782258,0.782258,-0.00953,-0.012471,0.813269
1982-12,1982,444.292105,1905.9,1520.207348,242.805679,1.553125,0.786765,0.823529,0.018208,-0.027898,0.829826
1983-12,1983,388.344444,2123.4,1280.240907,266.564292,0.967206,0.594595,0.682432,0.015335,-0.001307,0.456851
1984-12,1984,320.158824,2306.3,1015.362578,286.286755,0.287437,0.35,0.425,0.050397,0.017092,0.118315
1985-12,1985,321.884211,2492.0,983.475534,306.094349,0.12929,0.30814,0.412791,0.032087,0.018711,0.051585
1986-12,1986,390.921053,2728.0,1181.437714,330.98052,0.427843,0.445652,0.652174,-0.015404,-0.005755,0.1811
1987-12,1987,486.239474,2826.7,1407.111306,341.300286,0.909785,0.612245,0.806122,-0.071915,-0.050782,0.424668
1988-12,1988,419.047222,2988.8,1161.34156,358.143632,0.403689,0.379808,0.567308,-0.017676,-0.035584,0.170054
1989-12,1989,409.385294,3153.4,1084.179522,375.119944,0.224686,0.286364,0.509091,-0.015157,-0.036224,0.091345
1990-12,1990,376.947059,3272.5,940.823798,387.328146,-0.069833,0.12931,0.271552,0.005508,-0.0323,-0.026802
1991-12,1991,361.725,3373.0,875.988305,397.582732,-0.242957,0.114754,0.237705,0.003989,-0.02674,-0.090189
1992-12,1992,334.802632,3425.3,787.935225,402.902686,-0.475931,0.074219,0.160156,-0.029168,-0.000865,-0.169024
1993-12,1993,383.297368,3475.0,877.934998,407.94793,-0.160213,0.216418,0.302239,-0.053166,0.006007,-0.060426
1994-12,1994,379.286111,3486.7,846.114598,409.134211,-0.194719,0.189286,0.232143,-0.056841,0.015438,-0.072954
1995-12,1995,387.444118,3629.8,842.91686,423.600111,-0.229332,0.157534,0.246575,-0.068686,0.027885,-0.085354
1996-12,1996,368.997222,3818.7,776.969485,442.577869,-0.46738,0.069079,0.134868,-0.056528,0.054915,-0.166255
1997-12,1997,288.742105,4033.0,597.805354,463.953536,-1.219042,0.028481,0.060127,0.028264,0.107724,-0.377649
1998-12,1998,291.678947,4375.5,594.306088,497.800362,-1.374028,0.027439,0.064024,0.068877,0.108367,-0.414064
1999-12,1999,283.068421,4639.1,561.683098,523.603885,-1.580953,0.023529,0.067647,0.093256,0.148947,-0.459384
2000-12,2000,271.45,4927.3,520.984313,551.588276,-1.822518,0.005682,0.056818,0.134469,0.17747,-0.507876
2001-12,2001,275.847059,5440.1,521.333769,600.841366,-2.001063,0.005495,0.082418,0.179521,0.19603,-0.540899
2002-12,2002,331.919444,5779.0,612.742744,633.04259,-1.659606,0.079787,0.199468,0.193324,0.176651,-0.475676
2003-12,2003,406.952632,6073.5,737.399052,660.816431,-1.246106,0.175258,0.280928,0.149315,0.116538,-0.384167
2004-12,2004,442.078947,6424.3,775.791638,693.662097,-1.157983,0.2125,0.34,0.207475,0.105226,-0.362688
2005-12,2005,510.097222,6687.4,865.589368,718.135827,-0.879245,0.259709,0.507282,0.2221,0.076718,-0.289693
2006-12,2006,629.791176,7079.3,1042.220134,754.34989,-0.463886,0.304245,0.693396,0.212771,0.062192,-0.165121
2007-12,2007,803.202941,7482.7,1277.072638,791.342687,0.038239,0.440367,0.853211,0.16021,0.046159,0.014988
2008-12,2008,816.092105,8203.0,1296.381028,856.733271,-0.124923,0.348214,0.859375,0.084696,0.043386,-0.047437
2009-12,2009,1134.723684,8510.6,1754.781193,884.416444,0.640601,0.684783,0.96087,0.011635,0.026647,0.28302
2010-12,2010,1390.552632,8822.0,2118.714988,912.303203,1.083408,0.794492,0.974576,-0.051369,0.029291,0.524222
2011-12,2011,1652.305556,9683.5,2445.10061,988.772024,1.319836,0.828512,0.979339,-0.069691,0.007848,0.671068
2012-12,2012,1688.529412,10485.4,2455.946508,1059.120423,1.198912,0.77621,0.971774,-0.05668,0.006231,0.594275
2013-12,2013,1225.402778,11062.4,1755.964233,1109.284235,0.255901,0.458661,0.877953,0.003649,0.051736,0.104679
2014-12,2014,1202.289474,11721.2,1709.908243,1166.126684,0.078502,0.328846,0.85,0.041881,0.081998,0.031011
2015-12,2015,1068.252632,12393.6,1508.276515,1223.695755,-0.3492,0.231203,0.806391,0.116808,0.14914,-0.127028
2016-12,2016,1151.402778,13240.6,1592.635858,1295.613527,-0.303323,0.229779,0.810662,0.091849,,-0.111307
2017-12,2017,1261.255882,13887.3,1708.551396,1350.101623,-0.174976,0.255396,0.827338,0.073338,,-0.065807
2018-12,2018,1247.923529,14392.0,1658.805008,1392.385216,-0.281561,0.227113,0.795775,0.102126,,-0.103751
2019-12,2019,1476.044444,15351.5,1918.201819,1472.222789,0.006664,0.327586,0.908621,0.123659,,0.002596
2020-12,2020,1855.955263,19119.4,2379.50802,1779.594643,0.107995,0.334459,0.956081,0.182408,,0.042909
2021-12,2021,1786.652632,21502.0,2140.071519,1969.621131,-0.250613,0.198675,0.910596,,,-0.092895
2022-12,2022,1796.741667,21293.1,2021.669603,1953.079383,-0.21446,0.212662,0.87987,,,-0.080047
2023-12,2023,2029.291176,20779.9,2209.273624,1912.347259,0.15257,0.374204,0.923567,,,0.061152
2024-12,2024,2644.066667,21487.6,2797.773646,1968.481571,0.758429,0.64375,0.99375,,,0.343201
2025-12,2025,4289.484211,22355.3,4420.503469,2036.965184,1.914236,0.915644,1.0,,,1.105821
2026-06,2026,4238.318182,23155.2,4238.318182,2099.777518,1.805324,0.895137,0.990881,,,1.018461
