month,gold,gold_month_end,m2,cpi,real_gold,fair_money,fair_time,z_full_money,z_full_real,z_full_time,z_rt_money,z_rt_real,z_rt_time,pct_rt_ratio,pct_rt_mcap,pct_rt_money,pct_rt_real,pct_rt_time,fwd_3y,fwd_5y,fwd_10y
1971-09,42.022273,42.6,692.5,40.8,343.956422,101.258135,127.829961,-2.260651,-2.396649,-2.649971,,,,,,,,,0.534741,0.221225,0.265802
1971-10,42.506667,42.34,698.4,40.9,347.070571,102.002973,128.379224,-2.250029,-2.379114,-2.632883,,,,,,,,,0.551587,0.222664,0.262634
1971-11,42.859545,43.6,704.6,40.9,349.951856,102.784763,128.930847,-2.248404,-2.36303,-2.623403,,,,,,,,,0.618327,0.249362,0.25438
1971-12,43.485714,43.63,710.3,41.1,353.33677,103.502678,129.48484,-2.229013,-2.344303,-2.599068,,,,,,,,,0.616984,0.252196,0.251565
1972-01,45.752381,47.15,717.7,41.1,371.754237,104.433541,130.041214,-2.121419,-2.245452,-2.488249,,,,,,,,,0.567666,0.236533,0.237103
1972-02,48.26381,48.2,725.7,41.3,390.261398,105.438411,130.599978,-2.008673,-2.150935,-2.371172,,,,,,,,,0.549602,0.230762,0.22727
1972-03,48.329091,48.38,733.5,41.4,389.845328,106.416708,131.161144,-2.028939,-2.15301,-2.378166,,,,,,,,,0.544776,0.251251,0.21189
1972-04,49.032105,49.6,738.4,41.5,394.563123,107.030555,131.72472,-2.006602,-2.129608,-2.353979,,,,,,,,,0.513059,0.249217,0.217308
1972-05,54.618636,59.45,743.3,41.6,438.461607,107.643847,132.290718,-1.743936,-1.924376,-2.107175,,,,,,,,,0.452546,0.21832,0.198442
1972-06,62.092273,64.65,749.7,41.7,497.262318,108.444054,132.859148,-1.433322,-1.679549,-1.811906,,,,,,,,,0.382968,0.177875,0.176318
1972-07,65.665714,68.3,759.5,41.9,523.369848,109.667572,133.430021,-1.318329,-1.579999,-1.688834,,,,,,,,,0.359962,0.169063,0.178373
1972-08,67.035,66.88,768.7,42.0,533.011246,110.814227,134.003347,-1.292017,-1.544486,-1.649888,,,,,,,,,0.344703,0.166765,0.184423
1972-09,65.465714,64.2,778.3,42.1,519.29706,112.008747,134.579136,-1.380467,-1.595197,-1.716526,,,,,,,,,0.300798,0.179613,0.209143
1972-10,64.865,64.39,786.9,42.3,512.099208,113.077135,135.157399,-1.428564,-1.622352,-1.748697,,,,,,,,,0.300754,0.196191,0.205995
1972-11,62.913182,63.6,793.9,42.4,495.518464,113.945579,135.738146,-1.526764,-1.686384,-1.831686,,,,,,,,,0.31302,0.208393,0.207596
1972-12,63.909474,64.9,802.3,42.5,502.181095,114.986339,136.32139,-1.509749,-1.6604,-1.804474,,,,,,,,,0.296576,0.20214,0.213977
1973-01,65.139091,66.0,810.3,42.6,510.641542,115.97616,136.907139,-1.482795,-1.627897,-1.769292,,,,,,,,,0.263809,0.215991,0.221395
1973-02,74.1975,85.0,814.1,42.9,577.585164,116.445858,137.495405,-1.158496,-1.38824,-1.469357,,,,,,,,,0.208847,0.191466,0.208056
1973-03,84.371818,90.0,815.3,43.3,650.719109,116.594122,138.086199,-0.831455,-1.156299,-1.173476,,,,,,,,,0.162586,0.168327,0.174015
1973-04,90.496316,90.73,819.7,43.6,693.151964,117.137502,138.679531,-0.66328,-1.033402,-1.01677,,,,,,,,,0.122342,0.141347,0.169429
1973-05,101.959091,114.75,826.8,43.9,775.61372,118.013484,139.275413,-0.375871,-0.814723,-0.7429,,,,,,,,,0.075768,0.115755,0.156926
1973-06,120.119048,123.25,833.2,44.2,907.556475,118.802224,139.873855,0.028335,-0.50909,-0.362677,,,,,,,,,0.015278,0.08874,0.131402
1973-07,120.165909,115.6,836.5,44.3,905.861076,119.208595,140.474869,0.02056,-0.512728,-0.371961,,,,,,,,,-0.006734,0.094486,0.134036
1973-08,106.761364,103.5,838.8,45.1,790.53594,119.491695,141.078465,-0.289564,-0.777649,-0.66391,,,,,,,,,0.009793,0.14082,0.145757
1973-09,102.97,100.0,839.3,45.2,760.775165,119.553224,141.684654,-0.383831,-0.852303,-0.760252,,,,,,,,,0.034942,0.155464,0.148677
1973-10,100.077391,98.0,842.6,45.6,732.917653,119.959193,142.293448,-0.465787,-0.924877,-0.838337,,,,,,,,,0.050878,0.178388,0.146752
1973-11,94.915909,101.0,848.9,45.9,690.574241,120.733625,142.904859,-0.618441,-1.040651,-0.974683,,,,,,,,,0.11186,0.167714,0.149301
1973-12,106.719444,112.25,855.5,46.2,771.410647,121.544096,143.518896,-0.334349,-0.825294,-0.705697,,,,,,,,,0.078503,0.142601,0.137882
1974-01,129.190909,132.5,859.7,46.6,925.827521,122.059407,144.135571,0.145959,-0.470313,-0.26074,,,,,,,,,0.007867,0.119598,0.111223
1974-02,150.2325,162.5,864.2,47.2,1062.933132,122.611145,144.754897,0.522231,-0.201646,0.088472,,,,,,,,,-0.031924,0.103361,0.098939
1974-03,168.421429,173.0,870.1,47.8,1176.666797,123.333944,145.376883,0.800888,-0.003884,0.350486,,,,,,,,,-0.041679,0.075228,0.088777
1974-04,172.235,169.25,872.9,48.0,1198.296307,123.676734,146.001543,0.851307,0.031552,0.393607,,,,,,,,,-0.046803,0.067858,0.082734
1974-05,163.268182,156.75,874.6,48.6,1121.887569,123.884783,146.628886,0.709555,-0.09663,0.256039,,,,,,,,,-0.035249,0.095505,0.087402
1974-06,154.1,144.25,877.8,49.0,1050.244963,124.276255,147.258924,0.552893,-0.225009,0.108165,,,,,,,,,-0.029691,0.126111,0.093781
1974-07,142.978261,156.0,881.4,49.4,966.556198,124.71643,147.89167,0.351253,-0.386558,-0.080481,,,,,,,,,0.000966,0.155667,0.09286
1974-08,154.638095,156.0,884.1,50.0,1032.834024,125.0464,148.527135,0.545973,-0.257531,0.096042,,,,,,,,,-0.021335,0.142346,0.084392
1974-09,151.909524,151.25,887.9,50.6,1002.57884,125.510571,149.16533,0.490688,-0.315371,0.043423,,,,,,,,,-0.005262,0.185105,0.084248
1974-10,158.776087,167.0,893.3,51.1,1037.643675,126.169717,149.806268,0.590864,-0.248492,0.138518,,,,,,,,,0.000175,0.19791,0.079174
1974-11,181.654762,184.0,898.6,51.5,1177.941185,126.816129,150.449959,0.923746,-0.001778,0.448952,,,,,,,,,-0.037253,0.166289,0.065058
1974-12,183.85,186.5,902.1,51.9,1182.987961,127.242721,151.096416,0.94599,0.006539,0.467352,,,,,,,,,-0.044365,0.198742,0.057037
1975-01,176.268182,175.8,906.3,52.1,1129.848596,127.754333,151.745651,0.827425,-0.082874,0.356825,,,,,,,,,-0.005877,0.308175,0.055594
1975-02,179.59,181.75,914.1,52.5,1142.37028,128.703616,152.397676,0.856385,-0.061431,0.391083,,,,,,,,,-0.002671,0.299421,0.052334
1975-03,178.157895,177.25,925.0,52.7,1128.959872,130.028334,153.052502,0.809484,-0.084404,0.361799,,,,,,,,,0.010194,0.254513,0.054869
1975-04,169.843182,167.0,935.1,52.9,1072.201706,131.253929,153.710142,0.662515,-0.184756,0.237739,,,,,,,,,0.010549,0.249561,0.067136
1975-05,167.390476,167.0,947.9,53.2,1050.759103,132.804575,154.370608,0.594934,-0.224057,0.192877,,,,,,,,,0.01745,0.251457,0.065727
1975-06,164.238095,166.25,963.0,53.6,1023.276873,134.630194,155.033911,0.51097,-0.275617,0.137377,,,,,,,,,0.038133,0.296102,0.067797
1975-07,165.165217,166.7,975.1,54.2,1017.661525,136.090294,155.700065,0.497712,-0.286322,0.140573,,,,,,,,,0.045453,0.3129,0.067441
1975-08,162.9975,159.8,983.1,54.3,1002.455638,137.054294,156.369081,0.445609,-0.31561,0.09889,,,,,,,,,0.081698,0.309296,0.073013
1975-09,144.093182,141.25,991.5,54.6,881.322459,138.065346,157.040972,0.109844,-0.566154,-0.204962,,,,,,,,,0.137495,0.361303,0.084184
1975-10,142.756522,142.9,997.8,54.9,868.3757,138.82287,157.715749,0.071823,-0.594945,-0.237375,,,,,,,,,0.167868,0.358753,0.086029
1975-11,142.415,138.15,1007.0,55.3,860.032081,139.927926,158.393426,0.045286,-0.613728,-0.253293,,,,,,,,,0.131067,0.343541,0.086106
1975-12,139.3025,140.25,1016.3,55.5,838.204477,141.043599,159.074015,-0.031928,-0.663741,-0.316142,,,,,,,,,0.142666,0.336904,0.087362
1976-01,131.488095,128.15,1026.7,55.6,789.761014,142.289588,159.757529,-0.202933,-0.779557,-0.463872,,,,,,,,,0.200104,0.334917,0.101389
1976-02,131.07,132.3,1040.3,55.8,784.428112,143.916372,160.443979,-0.24034,-0.792739,-0.481671,,,,,,,,,0.232962,0.306929,0.099653
1976-03,132.578261,129.6,1049.9,55.9,792.035338,145.062945,161.133379,-0.231328,-0.773963,-0.46463,,,,,,,,,0.222202,0.303419,0.100583
1976-04,127.94,128.4,1060.8,56.1,761.60105,146.363056,161.825741,-0.345801,-0.850192,-0.55967,,,,,,,,,0.231859,0.311173,0.102816
1976-05,126.935,125.5,1072.1,56.5,750.268976,147.708958,162.521078,-0.389601,-0.879357,-0.588668,,,,,,,,,0.266089,0.304599,0.104314
1976-06,125.709091,123.8,1077.6,56.8,739.098633,148.363344,163.219402,-0.425909,-0.908539,-0.621998,,,,,,,,,0.304509,0.296647,0.105495
1976-07,117.754545,112.5,1086.3,57.1,688.692924,149.397536,163.920728,-0.611791,-1.045958,-0.787917,,,,,,,,,0.357746,0.282949,0.114557
1976-08,109.928571,104.0,1098.7,57.4,639.56213,150.869612,164.625067,-0.81377,-1.189944,-0.961944,,,,,,,,,0.398721,0.301272,0.131036
1976-09,114.145455,116.0,1110.8,57.6,661.78998,152.303895,165.332432,-0.741332,-1.123479,-0.882492,,,,,,,,,0.459834,0.312006,0.138528
1976-10,116.142857,123.15,1125.0,57.9,669.88151,153.984394,166.042836,-0.724948,-1.099837,-0.851384,,,,,,,,,0.499585,0.30391,0.138117
1976-11,130.463636,130.25,1138.3,58.0,751.182626,155.555765,166.756294,-0.452169,-0.876989,-0.584634,,,,,,,,,0.442989,0.259417,0.117867
1976-12,133.8775,134.5,1152.1,58.2,768.190015,157.183571,167.472816,-0.412531,-0.833433,-0.533318,,,,,,,,,0.503585,0.250935,0.11311
1977-01,132.264,132.3,1165.2,58.5,755.039783,158.726352,168.192418,-0.468805,-0.867025,-0.572414,,,,,,,,,0.721949,0.237674,0.119308
1977-02,136.299,142.75,1177.5,59.1,770.174681,160.17277,168.915111,-0.414878,-0.828414,-0.511045,,,,,,,,,0.69634,0.223787,0.113981
1977-03,148.228261,148.9,1188.4,59.5,831.951667,161.452836,169.64091,-0.219671,-0.678308,-0.321404,,,,,,,,,0.551494,0.173767,0.106802
