ticker,trend_window,horizon_years,annualized_return_if_revert_to_trend
KO,5y,1,-0.016349068503395126
KO,5y,2,0.03500190284979032
KO,5y,3,0.05270785082957241
KO,10y,1,-0.009488843993293639
KO,10y,2,0.04040814227569012
KO,10y,3,0.057592914881984036
PEP,5y,1,0.03969466245860076
PEP,5y,2,0.019178178526284784
PEP,5y,3,0.0124297162412077
PEP,10y,1,0.3378471714356239
PEP,10y,2,0.20272160434096254
PEP,10y,3,0.16078373660759615
PG,5y,1,0.0913637180622282
PG,5y,2,0.06756231808452084
PG,5y,3,0.05974443370178406
PG,10y,1,0.34055453572434224
PG,10y,2,0.21978065857298534
PG,10y,3,0.18199097749990356
WMT,5y,1,0.25716624853142434
WMT,5y,2,0.2677402372645392
WMT,5y,3,0.27128462725513214
WMT,10y,1,-0.006875289333993395
WMT,10y,2,0.08360068708861013
WMT,10y,3,0.11555528911581003
COST,5y,1,0.4216355840841963
COST,5y,2,0.32351843126610813
COST,5y,3,0.29234131840771016
COST,10y,1,0.4996857686787337
COST,10y,2,0.3712499257530164
COST,10y,3,0.3309305666438014
MCD,5y,1,0.23129742574768897
MCD,5y,2,0.15168569243492547
MCD,5y,3,0.12630921734862532
MCD,10y,1,0.4247160815913169
MCD,10y,2,0.2654078988764961
MCD,10y,3,0.21636695341121026
CL,5y,1,0.04089992248032703
CL,5y,2,0.05133626545857228
CL,5y,3,0.05483824765478795
CL,10y,1,0.01429669888171703
CL,10y,2,0.034079581627953326
CL,10y,3,0.04075925081638809
KMB,5y,1,0.07231530844381728
KMB,5y,2,0.036049306498365574
KMB,5y,3,0.0242352784422597
KMB,10y,1,0.21029059689589702
KMB,10y,2,0.11995570670816202
KMB,10y,3,0.09136806863656988
JNJ,5y,1,-0.18723317770202896
JNJ,5y,2,-0.07063265165044375
JNJ,5y,3,-0.028160474994618045
JNJ,10y,1,-0.15633772037179372
JNJ,10y,2,-0.048032554296938756
JNJ,10y,3,-0.008924853195325988
PM,5y,1,0.11860394684473086
PM,5y,2,0.1616528927774481
PM,5y,3,0.17636760199764523
PM,10y,1,-0.18451346420560732
PM,10y,2,-0.05046153687970856
PM,10y,3,-0.0010483153042389892
