ticker,description,start,end,n,price,trend,dev_pct,dev_sigma,trend_cagr,price_line,dev_pct_vs_price_line
QQQ,Nasdaq-100 ETF,2021-06-23,2026-06-23,1255,713.6500244140625,622.1954329904165,0.1469869217523727,1.0258427677728754,0.17732404922867606,610.1310015060485,0.1696668791660929
GOOG,Alphabet Class C,2021-06-23,2026-06-23,1255,346.0799865722656,257.7796904891761,0.3425417103865951,1.3665597243391523,0.2206411273500466,262.95114874429936,0.31613795271456646
GOOGL,Alphabet Class A,2021-06-23,2026-06-23,1255,346.1300048828125,256.9362724189311,0.3471434049547206,1.3708087775800015,0.22192706427280529,262.51615058617574,0.31850937212790265
MSFT,Microsoft,2021-06-23,2026-06-23,1255,373.9400024414063,491.9657928129954,-0.23990649776020645,-2.0624052446954955,0.14790684335199344,480.2185108852346,-0.22131281080338727
AAPL,Apple,2021-06-23,2026-06-23,1255,294.29998779296875,267.6273063343612,0.09966352770178055,0.9948677437712385,0.1509575447572733,262.47336822270586,0.12125656704057808
NVDA,Nvidia,2021-06-23,2026-06-23,1255,200.0399932861328,257.48931065016245,-0.2231134069953028,-0.7542638749379889,0.822583909625616,190.60287083730185,0.04951196384070444
AMZN,Amazon,2021-06-23,2026-06-23,1255,234.1100006103516,229.5252966116895,0.01997472202995776,0.09347242227968802,0.1442599054619813,228.42867796445353,0.024871319558142924
META,Meta,2021-06-23,2026-06-23,1255,562.2000122070312,760.564047606008,-0.2608117436307409,-0.8605592606701586,0.3405459869462042,703.1876183985099,-0.200497850790624
TSLA,Tesla,2021-06-23,2026-06-23,1255,381.6099853515625,339.73788963118074,0.1232482363560865,0.4174041420504136,0.09819322758091564,354.2683336700071,0.07717780304638655
SPY,S&P 500 ETF,2021-06-23,2026-06-23,1255,733.5800170898438,682.384782279088,0.07502399839540597,0.7855097268776873,0.14473849809501615,672.269129522298,0.0911999151457572
GOLD,Gold futures GC=F,2021-06-24,2026-06-24,1257,4001.0,4058.3341500167485,-0.014127508454795934,-0.10684980444455107,0.23275913865183306,4005.987085205058,-0.0012449079587590894
KO,Coca-Cola,2021-06-24,2026-06-24,1255,81.06500244140625,73.22057224799946,0.10713423772266562,1.7549859634259093,0.0890336242276859,72.71047599112414,0.11490127572953801
PEP,PepsiCo,2021-06-24,2026-06-24,1255,142.89999389648438,148.71117535069274,-0.03907696540293193,-0.5270901932583223,-0.0009334498959050475,149.13358967292262,-0.041798737562139254
COST,Costco,2021-06-24,2026-06-24,1255,963.8699951171876,1112.0774762873327,-0.13327082359849185,-1.2105652834618073,0.23217303893636587,1050.3020869148029,-0.08229260217077561
PG,Procter & Gamble,2021-06-24,2026-06-24,1255,152.88999938964844,159.78338976348468,-0.04314209620937448,-0.686067472195133,0.04427999953816708,159.29730061034348,-0.040222283718215124
WMT,Walmart,2021-06-24,2026-06-24,1255,119.66000366210938,117.67220404102851,0.01689268623189699,0.13200722599670547,0.2784031635091875,112.52570821252809,0.0634014712096429
MCD,McDonald's,2021-06-24,2026-06-24,1255,275.2850036621094,314.65928640658086,-0.12513307073859814,-2.600058040200819,0.07722139787134341,311.48295656518087,-0.11621166468380018
CL,Colgate-Palmolive,2021-06-24,2026-06-24,1255,92.6449966430664,90.81480009594301,0.02015306475585299,0.2430907002666324,0.06187724602243683,90.57318768217908,0.022874418069034785
KMB,Kimberly-Clark,2021-06-24,2026-06-24,1255,107.2699966430664,114.91121864642024,-0.06649674499463565,-0.7784117339794044,0.0010098308243855492,115.89525636232858,-0.07442288830438959
JNJ,Johnson & Johnson,2021-06-24,2026-06-24,1255,240.67999267578125,184.07597237306544,0.3075035789461802,2.334088885141358,0.06269552900331599,187.69534754982072,0.2822906684562152
PM,Philip Morris,2021-06-24,2026-06-24,1255,179.01499938964844,165.99284158155848,0.07845011678826941,0.5576247856748523,0.20635855711451723,163.4408097855532,0.09528947895283779
