series,year,pir
深圳,2015.0,27.7
深圳,2016.0,33.197
深圳,2017.0,32.593
深圳,2018.0,33.04
深圳,2019.0,34.452
深圳,2020.0,38.023
深圳,2021.0,37.0
深圳,2022.0,34.261
深圳,2023.0,31.922
深圳,2024.0,28.238
深圳,2025.0,25.686
深圳,2026.5,23.73
北京,2015.0,18.1
北京,2016.0,24.366
北京,2017.0,23.611
北京,2018.0,22.81
北京,2019.0,22.351
北京,2020.0,23.398
北京,2021.0,25.0
北京,2022.0,24.976
北京,2023.0,23.487
北京,2024.0,21.567
北京,2025.0,18.975
北京,2026.5,17.675
上海,2015.0,20.8
上海,2016.0,26.481
上海,2017.0,25.463
上海,2018.0,23.752
上海,2019.0,23.066
上海,2020.0,23.506
上海,2021.0,24.0
上海,2022.0,23.677
上海,2023.0,21.992
上海,2024.0,20.427
上海,2025.0,18.444
上海,2026.5,17.372
广州,2015.0,11.1
广州,2016.0,13.906
广州,2017.0,15.193
广州,2018.0,15.465
广州,2019.0,15.096
广州,2020.0,16.148
广州,2021.0,17.0
广州,2022.0,16.264
广州,2023.0,14.826
广州,2024.0,12.702
广州,2025.0,11.26
广州,2026.5,10.383
首尔,2009.125,18.239
首尔,2009.375,18.392
首尔,2009.625,18.199
首尔,2009.875,18.035
首尔,2010.125,17.966
首尔,2010.375,17.743
首尔,2010.625,16.947
首尔,2010.875,16.729
首尔,2011.125,16.438
首尔,2011.375,16.323
首尔,2011.625,15.548
首尔,2011.875,15.669
首尔,2012.125,14.944
首尔,2012.375,15.094
首尔,2012.625,14.419
首尔,2012.875,14.294
首尔,2013.125,14.055
首尔,2013.375,14.061
首尔,2013.625,13.463
首尔,2013.875,13.533
首尔,2014.125,13.193
首尔,2014.375,13.659
首尔,2014.625,13.024
首尔,2014.875,13.592
首尔,2015.125,13.089
首尔,2015.375,13.661
首尔,2015.625,13.404
首尔,2015.875,13.897
首尔,2016.125,13.65
首尔,2016.375,14.103
首尔,2016.625,13.959
首尔,2016.875,14.602
首尔,2017.125,14.245
首尔,2017.375,14.527
首尔,2017.625,14.525
首尔,2017.875,14.842
首尔,2018.125,15.281
首尔,2018.375,16.013
首尔,2018.625,15.68
首尔,2018.875,16.634
首尔,2019.125,15.026
首尔,2019.375,15.02
首尔,2019.625,14.53
首尔,2019.875,15.278
首尔,2020.125,15.446
首尔,2020.375,15.044
首尔,2020.625,15.935
首尔,2020.875,16.984
首尔,2021.125,17.791
首尔,2021.375,18.478
首尔,2021.625,17.384
首尔,2021.875,18.876
首尔,2022.125,18.305
首尔,2022.375,17.729
首尔,2022.625,17.826
首尔,2022.875,17.728
首尔,2023.125,16.268
首尔,2023.375,15.616
首尔,2023.625,14.929
首尔,2023.875,15.549
首尔,2024.125,15.127
首尔,2024.375,15.201
首尔,2024.625,14.738
首尔,2024.875,15.172
首尔,2025.125,14.627
首尔,2025.375,15.532
首尔,2025.625,14.953
首尔,2025.875,16.171
首尔,2026.125,16.488
首尔,2026.375,17.04
台北,2015.0,12.11
台北,2015.25,12.11
台北,2015.5,12.11
台北,2015.75,12.093
台北,2016.0,12.077
台北,2016.25,12.06
台北,2016.5,12.043
台北,2016.75,12.027
台北,2017.0,12.01
台北,2017.25,11.993
台北,2017.5,11.977
台北,2017.75,11.96
台北,2018.0,11.943
台北,2018.25,11.927
台北,2018.5,11.91
台北,2018.75,11.893
台北,2019.0,11.877
台北,2019.25,11.86
台北,2019.4,11.85
台北,2019.5,12.047
台北,2019.75,12.539
台北,2020.0,13.032
台北,2020.25,13.524
台北,2020.5,14.017
台北,2020.75,14.509
台北,2021.0,15.002
台北,2021.25,15.494
台北,2021.4,15.79
台北,2021.5,15.815
台北,2021.75,15.876
台北,2022.0,15.937
台北,2022.25,15.999
台北,2022.5,16.06
台北,2022.75,16.121
台北,2023.0,16.183
台北,2023.25,16.244
台北,2023.5,16.305
台北,2023.75,16.367
台北,2024.0,16.428
台北,2024.25,16.49
台北,2024.5,16.551
台北,2024.7,16.6
台北,2024.75,16.471
台北,2025.0,15.827
台北,2025.1,15.57
台北,2025.25,15.49
台北,2025.4,15.41
台北,2025.5,15.252
台北,2025.75,14.857
台北,2025.9,14.62
台北,2026.0,14.62
新加坡组屋,2000.125,4.708
新加坡组屋,2000.375,4.649
新加坡组屋,2000.625,4.509
新加坡组屋,2000.875,4.327
新加坡组屋,2001.125,4.106
新加坡组屋,2001.375,3.975
新加坡组屋,2001.625,3.872
新加坡组屋,2001.875,3.843
新加坡组屋,2002.125,3.841
新加坡组屋,2002.375,3.872
新加坡组屋,2002.625,3.922
新加坡组屋,2002.875,3.917
新加坡组屋,2003.125,3.974
新加坡组屋,2003.375,4.053
新加坡组屋,2003.625,4.158
新加坡组屋,2003.875,4.217
新加坡组屋,2004.125,4.242
新加坡组屋,2004.375,4.307
新加坡组屋,2004.625,4.287
新加坡组屋,2004.875,4.266
新加坡组屋,2005.125,4.208
新加坡组屋,2005.375,3.947
新加坡组屋,2005.625,3.891
新加坡组屋,2005.875,3.883
新加坡组屋,2006.125,3.865
新加坡组屋,2006.375,3.878
新加坡组屋,2006.625,3.822
新加坡组屋,2006.875,3.78
新加坡组屋,2007.125,3.75
新加坡组屋,2007.375,3.788
新加坡组屋,2007.625,3.93
新加坡组屋,2007.875,4.022
新加坡组屋,2008.125,4.042
新加坡组屋,2008.375,4.095
新加坡组屋,2008.625,4.21
新加坡组屋,2008.875,4.285
新加坡组屋,2009.125,4.267
新加坡组屋,2009.375,4.343
新加坡组屋,2009.625,4.474
新加坡组屋,2009.875,4.581
新加坡组屋,2010.125,4.647
新加坡组屋,2010.375,4.769
新加坡组屋,2010.625,4.862
新加坡组屋,2010.875,4.856
新加坡组屋,2011.125,4.809
新加坡组屋,2011.375,4.838
新加坡组屋,2011.625,4.915
新加坡组屋,2011.875,4.907
新加坡组屋,2012.125,4.847
新加坡组屋,2012.375,4.823
新加坡组屋,2012.625,4.852
新加坡组屋,2012.875,4.923
新加坡组屋,2013.125,4.937
新加坡组屋,2013.375,4.914
新加坡组屋,2013.625,4.816
新加坡组屋,2013.875,4.68
新加坡组屋,2014.125,4.547
新加坡组屋,2014.375,4.427
新加坡组屋,2014.625,4.301
新加坡组屋,2014.875,4.189
新加坡组屋,2015.125,4.1
新加坡组屋,2015.375,4.037
新加坡组屋,2015.625,3.992
新加坡组屋,2015.875,3.976
新加坡组屋,2016.125,3.951
新加坡组屋,2016.375,3.93
新加坡组屋,2016.625,3.909
新加坡组屋,2016.875,3.887
新加坡组屋,2017.125,3.848
新加坡组屋,2017.375,3.823
新加坡组屋,2017.625,3.774
新加坡组屋,2017.875,3.74
新加坡组屋,2018.125,3.685
新加坡组屋,2018.375,3.661
新加坡组屋,2018.625,3.638
新加坡组屋,2018.875,3.621
新加坡组屋,2019.125,3.597
新加坡组屋,2019.375,3.58
新加坡组屋,2019.625,3.588
新加坡组屋,2019.875,3.627
新加坡组屋,2020.125,3.649
新加坡组屋,2020.375,3.684
新加坡组屋,2020.625,3.734
新加坡组屋,2020.875,3.817
新加坡组屋,2021.125,3.895
新加坡组屋,2021.375,3.975
新加坡组屋,2021.625,4.04
新加坡组屋,2021.875,4.115
新加坡组屋,2022.125,4.155
新加坡组屋,2022.375,4.208
新加坡组屋,2022.625,4.245
新加坡组屋,2022.875,4.262
新加坡组屋,2023.125,4.226
新加坡组屋,2023.375,4.214
新加坡组屋,2023.625,4.211
新加坡组屋,2023.875,4.214
新加坡组屋,2024.125,4.249
新加坡组屋,2024.375,4.305
新加坡组屋,2024.625,4.364
新加坡组屋,2024.875,4.408
新加坡组屋,2025.125,4.409
新加坡组屋,2025.375,4.385
新加坡组屋,2025.625,4.348
新加坡组屋,2025.875,4.303
新加坡组屋,2026.125,4.256
新加坡私宅,2000.125,16.426
新加坡私宅,2000.375,16.675
新加坡私宅,2000.625,16.065
新加坡私宅,2000.875,15.344
新加坡私宅,2001.125,14.475
新加坡私宅,2001.375,14.103
新加坡私宅,2001.625,13.61
新加坡私宅,2001.875,13.106
新加坡私宅,2002.125,13.036
新加坡私宅,2002.375,13.029
新加坡私宅,2002.625,13.129
新加坡私宅,2002.875,13.065
新加坡私宅,2003.125,12.939
新加坡私宅,2003.375,12.844
新加坡私宅,2003.625,12.794
新加坡私宅,2003.875,12.821
新加坡私宅,2004.125,12.816
新加坡私宅,2004.375,12.875
新加坡私宅,2004.625,12.845
新加坡私宅,2004.875,12.744
新加坡私宅,2005.125,12.646
新加坡私宅,2005.375,12.52
新加坡私宅,2005.625,12.542
新加坡私宅,2005.875,12.646
新加坡私宅,2006.125,12.763
新加坡私宅,2006.375,12.909
新加坡私宅,2006.625,13.073
新加坡私宅,2006.875,13.309
新加坡私宅,2007.125,13.676
新加坡私宅,2007.375,14.51
新加坡私宅,2007.625,15.307
新加坡私宅,2007.875,15.808
新加坡私宅,2008.125,15.888
新加坡私宅,2008.375,15.429
新加坡私宅,2008.625,14.866
新加坡私宅,2008.875,14.018
新加坡私宅,2009.125,12.088
新加坡私宅,2009.375,11.562
新加坡私宅,2009.625,13.314
新加坡私宅,2009.875,14.095
新加坡私宅,2010.125,14.69
新加坡私宅,2010.375,15.258
新加坡私宅,2010.625,15.385
新加坡私宅,2010.875,15.392
新加坡私宅,2011.125,15.335
新加坡私宅,2011.375,15.249
新加坡私宅,2011.625,15.117
新加坡私宅,2011.875,14.881
新加坡私宅,2012.125,14.593
新加坡私宅,2012.375,14.404
新加坡私宅,2012.625,14.291
新加坡私宅,2012.875,14.403
新加坡私宅,2013.125,14.343
新加坡私宅,2013.375,14.349
新加坡私宅,2013.625,14.24
新加坡私宅,2013.875,13.929
新加坡私宅,2014.125,13.581
新加坡私宅,2014.375,13.268
新加坡私宅,2014.625,13.015
新加坡私宅,2014.875,12.731
新加坡私宅,2015.125,12.462
新加坡私宅,2015.375,12.216
新加坡私宅,2015.625,11.957
新加坡私宅,2015.875,11.832
新加坡私宅,2016.125,11.684
新加坡私宅,2016.375,11.57
新加坡私宅,2016.625,11.337
新加坡私宅,2016.875,11.223
新加坡私宅,2017.125,11.127
新加坡私宅,2017.375,11.065
新加坡私宅,2017.625,11.077
新加坡私宅,2017.875,11.083
新加坡私宅,2018.125,11.43
新加坡私宅,2018.375,11.732
新加坡私宅,2018.625,11.724
新加坡私宅,2018.875,11.677
新加坡私宅,2019.125,11.56
新加坡私宅,2019.375,11.691
新加坡私宅,2019.625,11.863
新加坡私宅,2019.875,12.0
新加坡私宅,2020.125,11.957
新加坡私宅,2020.375,12.073
新加坡私宅,2020.625,12.151
新加坡私宅,2020.875,12.292
新加坡私宅,2021.125,12.586
新加坡私宅,2021.375,12.575
新加坡私宅,2021.625,12.562
新加坡私宅,2021.875,12.998
新加坡私宅,2022.125,12.898
新加坡私宅,2022.375,13.157
新加坡私宅,2022.625,13.435
新加坡私宅,2022.875,13.245
新加坡私宅,2023.125,13.435
新加坡私宅,2023.375,13.17
新加坡私宅,2023.625,13.097
新加坡私宅,2023.875,13.333
新加坡私宅,2024.125,13.388
新加坡私宅,2024.375,13.376
新加坡私宅,2024.625,13.118
新加坡私宅,2024.875,13.213
新加坡私宅,2025.125,13.118
新加坡私宅,2025.375,13.051
新加坡私宅,2025.625,13.005
新加坡私宅,2025.875,12.955
新加坡私宅,2026.125,12.941
旧金山,1998.042,4.106
旧金山,1998.125,4.115
旧金山,1998.208,4.156
旧金山,1998.292,4.231
旧金山,1998.375,4.314
旧金山,1998.458,4.387
旧金山,1998.542,4.436
旧金山,1998.625,4.472
旧金山,1998.708,4.495
旧金山,1998.792,4.483
旧金山,1998.875,4.452
旧金山,1998.958,4.433
旧金山,1999.042,4.449
旧金山,1999.125,4.485
旧金山,1999.208,4.557
旧金山,1999.292,4.634
旧金山,1999.375,4.706
旧金山,1999.458,4.782
旧金山,1999.542,4.857
旧金山,1999.625,4.893
旧金山,1999.708,4.933
旧金山,1999.792,4.95
旧金山,1999.875,4.997
旧金山,1999.958,5.037
旧金山,2000.042,5.081
旧金山,2000.125,5.205
旧金山,2000.208,5.387
旧金山,2000.292,5.596
旧金山,2000.375,5.786
旧金山,2000.458,5.944
旧金山,2000.542,5.981
旧金山,2000.625,5.99
旧金山,2000.708,6.024
旧金山,2000.792,6.116
旧金山,2000.875,6.229
旧金山,2000.958,6.358
旧金山,2001.042,6.47
旧金山,2001.125,6.557
旧金山,2001.208,6.582
旧金山,2001.292,6.58
旧金山,2001.375,6.549
旧金山,2001.458,6.463
旧金山,2001.542,6.365
旧金山,2001.625,6.261
旧金山,2001.708,6.22
旧金山,2001.792,6.176
旧金山,2001.875,6.111
旧金山,2001.958,6.023
旧金山,2002.042,5.992
旧金山,2002.125,6.022
旧金山,2002.208,6.137
旧金山,2002.292,6.304
旧金山,2002.375,6.452
旧金山,2002.458,6.591
旧金山,2002.542,6.654
旧金山,2002.625,6.681
旧金山,2002.708,6.681
旧金山,2002.792,6.686
旧金山,2002.875,6.684
旧金山,2002.958,6.637
旧金山,2003.042,6.597
旧金山,2003.125,6.595
旧金山,2003.208,6.616
旧金山,2003.292,6.678
旧金山,2003.375,6.7
旧金山,2003.458,6.729
旧金山,2003.542,6.769
旧金山,2003.625,6.796
旧金山,2003.708,6.849
旧金山,2003.792,6.901
旧金山,2003.875,6.957
旧金山,2003.958,6.997
旧金山,2004.042,7.038
旧金山,2004.125,7.119
旧金山,2004.208,7.227
旧金山,2004.292,7.378
旧金山,2004.375,7.498
旧金山,2004.458,7.647
旧金山,2004.542,7.732
旧金山,2004.625,7.804
旧金山,2004.708,7.885
旧金山,2004.792,7.98
旧金山,2004.875,8.066
旧金山,2004.958,8.159
旧金山,2005.042,8.298
旧金山,2005.125,8.459
旧金山,2005.208,8.648
旧金山,2005.292,8.781
旧金山,2005.375,8.919
旧金山,2005.458,9.044
旧金山,2005.542,9.136
旧金山,2005.625,9.169
旧金山,2005.708,9.227
旧金山,2005.792,9.239
旧金山,2005.875,9.223
旧金山,2005.958,9.175
旧金山,2006.042,9.139
旧金山,2006.125,9.146
旧金山,2006.208,9.147
旧金山,2006.292,9.187
旧金山,2006.375,9.2
旧金山,2006.458,9.167
旧金山,2006.542,9.124
旧金山,2006.625,9.084
旧金山,2006.708,9.027
旧金山,2006.792,8.965
旧金山,2006.875,8.877
旧金山,2006.958,8.785
旧金山,2007.042,8.748
旧金山,2007.125,8.686
旧金山,2007.208,8.677
旧金山,2007.292,8.672
旧金山,2007.375,8.626
旧金山,2007.458,8.548
旧金山,2007.542,8.492
旧金山,2007.625,8.451
旧金山,2007.708,8.362
旧金山,2007.792,8.163
旧金山,2007.875,7.879
旧金山,2007.958,7.608
旧金山,2008.042,7.372
旧金山,2008.125,6.983
旧金山,2008.208,6.72
旧金山,2008.292,6.554
旧金山,2008.375,6.461
旧金山,2008.458,6.332
旧金山,2008.542,6.199
旧金山,2008.625,5.969
旧金山,2008.708,5.723
旧金山,2008.792,5.47
旧金山,2008.875,5.294
旧金山,2008.958,5.079
旧金山,2009.042,4.844
旧金山,2009.125,4.675
旧金山,2009.208,4.561
旧金山,2009.292,4.579
旧金山,2009.375,4.633
旧金山,2009.458,4.796
旧金山,2009.542,4.944
旧金山,2009.625,5.07
旧金山,2009.708,5.122
旧金山,2009.792,5.172
旧金山,2009.875,5.191
旧金山,2009.958,5.169
旧金山,2010.042,5.127
旧金山,2010.125,5.078
旧金山,2010.208,5.144
旧金山,2010.292,5.245
旧金山,2010.375,5.322
旧金山,2010.458,5.323
旧金山,2010.542,5.335
旧金山,2010.625,5.307
旧金山,2010.708,5.246
旧金山,2010.792,5.134
旧金山,2010.875,5.063
旧金山,2010.958,5.005
旧金山,2011.042,4.895
旧金山,2011.125,4.758
旧金山,2011.208,4.742
旧金山,2011.292,4.81
旧金山,2011.375,4.885
旧金山,2011.458,4.891
旧金山,2011.542,4.892
旧金山,2011.625,4.877
旧金山,2011.708,4.794
旧金山,2011.792,4.751
旧金山,2011.875,4.647
旧金山,2011.958,4.598
旧金山,2012.042,4.471
旧金山,2012.125,4.43
旧金山,2012.208,4.466
旧金山,2012.292,4.606
旧金山,2012.375,4.773
旧金山,2012.458,4.893
旧金山,2012.542,4.976
旧金山,2012.625,4.986
旧金山,2012.708,5.002
旧金山,2012.792,5.024
旧金山,2012.875,5.084
旧金山,2012.958,5.106
旧金山,2013.042,5.101
旧金山,2013.125,5.115
旧金山,2013.208,5.3
旧金山,2013.292,5.545
旧金山,2013.375,5.769
旧金山,2013.458,5.912
旧金山,2013.542,6.029
旧金山,2013.625,6.071
旧金山,2013.708,6.103
旧金山,2013.792,6.076
旧金山,2013.875,6.082
旧金山,2013.958,6.079
旧金山,2014.042,6.097
旧金山,2014.125,6.095
旧金山,2014.208,6.24
旧金山,2014.292,6.375
旧金山,2014.375,6.477
旧金山,2014.458,6.5
旧金山,2014.542,6.47
旧金山,2014.625,6.424
旧金山,2014.708,6.411
旧金山,2014.792,6.45
旧金山,2014.875,6.445
旧金山,2014.958,6.456
旧金山,2015.042,6.383
旧金山,2015.125,6.512
旧金山,2015.208,6.694
旧金山,2015.292,6.826
旧金山,2015.375,6.899
旧金山,2015.458,6.913
旧金山,2015.542,6.923
旧金山,2015.625,6.895
旧金山,2015.708,6.915
旧金山,2015.792,6.945
旧金山,2015.875,6.947
旧金山,2015.958,6.916
旧金山,2016.042,6.854
旧金山,2016.125,6.909
旧金山,2016.208,7.053
旧金山,2016.292,7.144
旧金山,2016.375,7.132
旧金山,2016.458,7.144
旧金山,2016.542,7.129
旧金山,2016.625,7.14
旧金山,2016.708,7.095
旧金山,2016.792,7.122
旧金山,2016.875,7.111
旧金山,2016.958,7.122
旧金山,2017.042,7.076
旧金山,2017.125,7.136
旧金山,2017.208,7.192
旧金山,2017.292,7.273
旧金山,2017.375,7.332
旧金山,2017.458,7.363
旧金山,2017.542,7.384
旧金山,2017.625,7.355
旧金山,2017.708,7.381
旧金山,2017.792,7.448
旧金山,2017.875,7.535
旧金山,2017.958,7.558
旧金山,2018.042,7.568
旧金山,2018.125,7.626
旧金山,2018.208,7.767
旧金山,2018.292,7.826
旧金山,2018.375,7.891
旧金山,2018.458,7.909
旧金山,2018.542,7.935
旧金山,2018.625,7.887
旧金山,2018.708,7.87
旧金山,2018.792,7.795
旧金山,2018.875,7.721
旧金山,2018.958,7.588
旧金山,2019.042,7.471
旧金山,2019.125,7.496
旧金山,2019.208,7.627
