주택담보대출금리,중위가구월소득금액,날짜
6.81,2984813,2008-12-01
5.63,2982528,2009-01-01
5.38,2982528,2009-02-01
5.43,2982528,2009-03-01
5.3,2969707,2009-04-01
5.25,2969707,2009-05-01
5.25,2969707,2009-06-01
5.29,3061887,2009-07-01
5.45,3061887,2009-08-01
5.77,3061887,2009-09-01
5.9,3129369,2009-10-01
5.87,3129369,2009-11-01
5.9,3129369,2009-12-01
5.88,3148918,2010-01-01
5.75,3148918,2010-02-01
5.47,3148918,2010-03-01
5.07,3171688,2010-04-01
4.78,3171688,2010-05-01
4.62,3171688,2010-06-01
4.7,3273966,2010-07-01
4.81,3273966,2010-08-01
4.8,3273966,2010-09-01
4.74,3298400,2010-10-01
4.65,3298400,2010-11-01
4.67,3298400,2010-12-01
4.8,3370853,2011-01-01
4.86,3370853,2011-02-01
4.89,3370853,2011-03-01
4.88,3398381,2011-04-01
4.9,3398381,2011-05-01
4.87,3398381,2011-06-01
4.9,3554303,2011-07-01
4.97,3554303,2011-08-01
5.0,3554303,2011-09-01
5.01,3512495,2011-10-01
5.01,3512495,2011-11-01
4.95,3512495,2011-12-01
5.0,3664348,2012-01-01
5.02,3664348,2012-02-01
5.0,3664348,2012-03-01
4.94,3594402,2012-04-01
4.85,3594402,2012-05-01
4.76,3594402,2012-06-01
4.64,3711804,2012-07-01
4.41,3711804,2012-08-01
4.29,3711804,2012-09-01
4.23,3685579,2012-10-01
4.19,3685579,2012-11-01
4.16,3685579,2012-12-01
4.17,3710370,2013-01-01
4.06,3710370,2013-02-01
3.97,3710370,2013-03-01
3.86,3690715,2013-04-01
3.77,3690715,2013-05-01
3.73,3690715,2013-06-01
3.77,3827798,2013-07-01
3.8,3827798,2013-08-01
3.82,3827798,2013-09-01
3.81,3806795,2013-10-01
3.77,3806795,2013-11-01
3.74,3806795,2013-12-01
3.75,3912804,2014-01-01
3.71,3912804,2014-02-01
3.69,3912804,2014-03-01
3.69,3787640,2014-04-01
3.63,3787640,2014-05-01
3.58,3787640,2014-06-01
3.53,3973892,2014-07-01
3.5,3973892,2014-08-01
3.5,3973892,2014-09-01
3.38,3830093,2014-10-01
3.3,3830093,2014-11-01
3.33,3830093,2014-12-01
3.34,3993706,2015-01-01
3.24,3993706,2015-02-01
2.97,3993706,2015-03-01
2.81,3878648,2015-04-01
3.06,3878648,2015-05-01
3.01,3878648,2015-06-01
2.96,4014254,2015-07-01
2.94,4014254,2015-08-01
2.92,4014254,2015-09-01
2.9,3938916,2015-10-01
3.04,3938916,2015-11-01
3.12,3938916,2015-12-01
3.1,4037161,2016-01-01
2.99,4037161,2016-02-01
2.97,4037161,2016-03-01
2.93,3928440,2016-04-01
2.89,3928440,2016-05-01
2.77,3928440,2016-06-01
2.66,4025495,2016-07-01
2.7,4025495,2016-08-01
2.8,4025495,2016-09-01
2.89,3912847,2016-10-01
3.04,3912847,2016-11-01
3.13,3912847,2016-12-01
3.16,4025947,2017-01-01
3.19,4025947,2017-02-01
3.21,4025947,2017-03-01
3.21,3947343,2017-04-01
3.26,3947343,2017-05-01
3.22,4025947,2017-06-01
3.28,4063917,2017-07-01
3.28,4063917,2017-08-01
3.24,4063917,2017-09-01
3.33,4038302,2017-10-01
3.39,4038302,2017-11-01
3.42,4038302,2017-12-01
3.47,4035039,2018-01-01
3.46,4035039,2018-02-01
3.45,4035039,2018-03-01
3.47,3942263,2018-04-01
3.49,3942263,2018-05-01
3.46,3942263,2018-06-01
3.44,4147485,2018-07-01
3.36,4147485,2018-08-01
3.29,4147485,2018-09-01
3.31,4109752,2018-10-01
3.28,4109752,2018-11-01
3.19,4109752,2018-12-01
3.12,4551976,2019-01-01
3.08,4551976,2019-02-01
3.04,4551976,2019-03-01
2.98,4537710,2019-04-01
2.93,4537710,2019-05-01
2.74,4537710,2019-06-01
2.64,4724584,2019-07-01
2.47,4724584,2019-08-01
2.51,4724584,2019-09-01
2.5,4571963,2019-10-01
2.45,4571963,2019-11-01
2.45,4571963,2019-12-01
2.51,4620291,2020-01-01
2.52,4620291,2020-02-01
2.48,4620291,2020-03-01
2.58,4790843,2020-04-01
2.52,4790843,2020-05-01
2.49,4790843,2020-06-01
2.45,4730530,2020-07-01
2.39,4730530,2020-08-01
2.44,4730530,2020-09-01
2.47,4627868,2020-10-01
2.56,4627868,2020-11-01
2.59,4627868,2020-12-01
2.63,4619920,2021-01-01
2.66,4619920,2021-02-01
2.73,4619920,2021-03-01
2.73,4609936,2021-04-01
2.69,4609936,2021-05-01
2.74,4609936,2021-06-01
2.81,5116527,2021-07-01
2.88,5116527,2021-08-01
3.01,5116527,2021-09-01
3.26,4881767,2021-10-01
3.51,4881767,2021-11-01
3.63,4881767,2021-12-01
3.85,5083001,2022-01-01
3.88,5083001,2022-02-01
3.84,5083001,2022-03-01
3.9,5267166,2022-04-01
3.9,5267166,2022-05-01
4.04,5267166,2022-06-01
4.16,5240314,2022-07-01
4.35,5240314,2022-08-01
4.79,5240314,2022-09-01
4.82,5150871,2022-10-01
4.74,5150871,2022-11-01
4.63,5150871,2022-12-01
4.58,5352611,2023-01-01
4.56,5352611,2023-02-01
4.4,5352611,2023-03-01
4.24,5419641,2023-04-01
4.21,5419641,2023-05-01
4.26,5419641,2023-06-01
4.28,5631668,2023-07-01
4.31,5631668,2023-08-01
4.35,5631668,2023-09-01
4.56,5427777,2023-10-01
4.48,5427777,2023-11-01
4.16,5427777,2023-12-01
3.99,5558150,2024-01-01
3.96,5558150,2024-02-01
3.94,5558150,2024-03-01
3.93,5515198,2024-04-01
3.91,5515198,2024-05-01
3.71,5515198,2024-06-01
3.5,5775339,2024-07-01
3.51,5775339,2024-08-01
3.74,5775339,2024-09-01
4.05,5703004,2024-10-01
4.3,5703004,2024-11-01
4.25,5703004,2024-12-01
4.27,5949567,2025-01-01
4.23,5949567,2025-02-01
4.17,5949567,2025-03-01
3.98,5733833,2025-04-01
3.87,5733833,2025-05-01
3.93,5733833,2025-06-01
3.96,6142905,2025-07-01
3.96,6142905,2025-08-01
3.96,6142905,2025-09-01
3.98,5893006,2025-10-01
4.17,5893006,2025-11-01
4.23,5893006,2025-12-01
4.29,5985169,2026-01-01
4.32,5985169,2026-02-01
4.34,5985169,2026-03-01
