date,idx
198601,17.5034774987
198602,17.5034774987
198603,17.471243011
198604,17.374538448
198605,17.2455993974
198606,17.1488959345
198607,17.0521913715
198608,17.0199568839
198609,17.0521913715
198610,17.0521913715
198611,16.8910178333
198612,16.7620787826
198701,16.7298431949
198702,16.6653742196
198703,16.6653742196
198704,16.6653742196
198705,16.6976087072
198706,16.6976087072
198707,16.7620787826
198708,16.8587822455
198709,17.5679475741
198710,17.9869992136
198711,18.2771129026
198712,18.3415818779
198801,18.7283990298
198802,19.3408597953
198803,19.9210849731
198804,20.3401377127
198805,20.7591893523
198806,20.9848329659
198807,21.5328236561
198808,22.3064579599
198809,22.1452844216
198810,22.0808143462
198811,21.7907017573
198812,22.016345371
198901,22.5965705488
198902,23.7892575922
198903,24.659596459
198904,26.174630579
198905,26.4325086803
198906,26.3358041173
198907,26.077926016
198908,26.0456904282
198909,26.0134559406
198910,26.2390995543
198911,26.3680386049
198912,26.4647431679
199001,26.8515603198
199002,28.1731853138
199003,29.1402287436
199004,30.5263238129
199005,31.0743145031
199006,31.3966626797
199007,31.5900707056
199008,32.1058269082
199009,33.2018093886
199010,33.9754436924
199011,34.7813124838
199012,35.0069560975
199101,35.3937732494
199102,35.9739984272
199103,36.8121028063
199104,37.972554262
199105,37.9080852868
199106,37.5212681349
199107,37.2633900336
199108,37.0055119324
199109,36.6831637557
199110,36.2318765284
199111,35.2003641234
199112,34.3622608443
199201,34.1688517183
199202,34.104382743
199203,33.9754436924
199204,33.7498000788
199205,33.2985128515
199206,32.7505221613
199207,32.5248785477
199208,32.7505221613
199209,33.1695738008
199210,33.1051048256
199211,32.9116956996
199212,32.6538175983
199301,32.6215831107
199302,32.879461212
199303,32.9116956996
199304,32.7182876737
199305,32.5248785477
199306,32.2670004464
199307,32.1058269082
199308,32.0091223451
199309,31.9446533699
199310,31.9124188823
199311,31.8801832945
199312,31.7834798316
199401,31.8157143193
199402,31.9124188823
199403,31.9446533699
199404,31.9124188823
199405,31.8801832945
199406,31.8801832945
199407,31.8479488069
199408,31.8801832945
199409,32.0091223451
199410,32.0735924205
199411,32.0091223451
199412,32.0091223451
199501,32.0091223451
199502,32.0735924205
199503,32.1380613958
199504,32.2025314712
199505,32.1702969835
199506,32.1702969835
199507,32.1380613958
199508,32.1702969835
199509,32.2670004464
199510,32.2670004464
199511,32.2347659588
199512,32.2347659588
199601,32.3314705218
199602,32.4604095724
199603,32.6215831107
199604,32.6538175983
199605,32.6538175983
199606,32.6215831107
199607,32.6215831107
199608,32.7182876737
199609,32.976165775
199610,33.1051048256
199611,33.2018093886
199612,33.3629829269
199701,34.0399126677
199702,34.6523734332
199703,34.8457825592
199704,34.8780170468
199705,34.8780170468
199706,34.8457825592
199707,34.8780170468
199708,35.0069560975
199709,35.2003641234
199710,35.2325997111
199711,35.1358951481
199712,34.9424860221
199801,34.6201389456
199802,33.9432092048
199803,32.976165775
199804,31.9446533699
199805,30.9776099401
199806,30.5263238129
199807,30.4296192499
199808,30.5585583006
199809,30.3006801993
199810,30.042802098
199811,29.9138630474
199812,30.2039756363
199901,30.8809053771
199902,31.1387834783
199903,31.3966626797
199904,31.5256017304
199905,31.6867752686
199906,31.8801832945
199907,32.0735924205
199908,32.4604095724
199909,32.8472267243
199910,32.9116956996
199911,32.8149922367
199912,32.7827566489
200001,32.9439312873
200002,33.2018093886
200003,33.3952174145
200004,33.4596874899
200005,33.3952174145
200006,33.3307484392
200007,33.3629829269
200008,33.4274519021
200009,33.5886265405
200010,33.6530955158
200011,33.5241564651
200012,33.2340438762
200101,33.2662783639
200102,33.4596874899
200103,33.7498000788
200104,34.0721482554
200105,34.4267298196
200106,34.8780170468
200107,35.5227123
200108,36.4575201421
200109,37.1989199582
200110,37.4245635719
200111,37.6179715978
200112,38.0692588251
200201,39.6165274327
200202,41.002622502
200203,42.2597785207
200204,42.6465956726
200205,42.8400036985
200206,43.0978817998
200207,43.7103425653
200208,44.7418549704
200209,46.289123578
200210,46.5470016792
200211,46.5470016792
200212,46.7404108053
200301,46.6759407299
200302,46.9982889065
200303,47.3528715708
200304,47.900862261
200305,48.9968447414
200306,49.5770699192
200307,49.7678617809
200308,50.0721795474
200309,50.7529928288
200310,51.6136470473
200311,51.545679585
200312,51.2118480097
200401,51.1089429835
200402,51.2893901049
200403,51.4912528079
200404,51.6947679408
200405,51.7518768914
200406,51.7009398001
200407,51.6071748463
200408,51.4487538912
200409,51.3723889599
200410,51.3041310571
200411,51.1058823574
200412,50.9140717539
200501,50.7778100838
200502,51.0525843373
200503,51.3485893465
200504,51.7530551555
200505,52.1646246533
200506,52.7958529316
200507,53.3741033345
200508,53.6155440474
200509,53.7348446562
200510,53.7339172271
200511,53.7604837256
200512,53.8943382605
200601,54.1396933184
200602,54.4767395413
200603,54.9211354092
200604,55.5052892339
200605,56.1951512751
200606,56.4848920122
200607,56.5920546312
200608,56.7091769367
200609,56.959110832
200610,57.8252218102
200611,60.0438588843
200612,61.304957852
200701,61.9237037925
200702,62.1092545245
200703,62.1663315707
200704,62.1625294414
200705,62.0969471111
200706,62.1178621229
200707,62.2205350168
200708,62.3047506411
200709,62.3979314135
200710,62.4974160636
200711,62.5938257856
200712,62.6189917891
200801,62.7270972393
200802,62.8684240146
200803,63.254698791
200804,63.906517994836
200805,64.279172004762
200806,64.629493344919
200807,64.833211643167
200808,64.910714846576
200809,65.049189977173
200810,65.004846133963
200811,64.660150617542
200812,64.098000892177
200901,63.668327616364
200902,63.476051962297
200903,63.324910781558
200904,63.354642233711
200905,63.444507110967
200906,63.588822022647
200907,63.803850124773
200908,64.006601198947
200909,64.521087959391
200910,64.783911788522
200911,64.997281840688
200912,65.111976978192
201001,65.207695698469
201002,65.458218834362
201003,65.653151976489
201004,65.787208873398
201005,65.824906140185
201006,65.797515111182
201007,65.730823265038
201008,65.709572539465
201009,65.812787653874
201010,65.995587627486
201011,66.354750789134
201012,66.757242803356
201101,67.185446371029
201102,67.923754295642
201103,68.813736070071
