date,idx
198601,12.0662653729
198602,12.0871772492
198603,12.0662653729
198604,11.9826169122
198605,11.919880328
198606,11.7944081146
198607,11.7525834068
198608,11.7525834068
198609,11.7734962382
198610,11.7316715304
198611,11.606199317
198612,11.4598152272
198701,11.4598152272
198702,11.4179905194
198703,11.3552548902
198704,11.2716064296
198705,11.2716064296
198706,11.2297817218
198707,11.2297817218
198708,11.3343420588
198709,11.6689359012
198710,11.8362318674
198711,11.9826169122
198712,12.0035287886
198801,12.233561339
198802,12.6936273949
198803,12.9863955744
198804,13.2582528326
198805,13.4046378775
198806,13.4673735066
198807,13.9274395625
198808,14.4293293711
198809,14.2620324499
198810,14.1574721129
198811,13.9274395625
198812,14.220207742
198901,14.7639222585
198902,15.7467890443
198903,16.3323273135
198904,17.4406672677
198905,17.2524584701
198906,16.8969537063
198907,16.6250964481
198908,16.6250964481
198909,16.5623598639
198910,16.8133052457
198911,16.8969537063
198912,16.8969537063
199001,17.3151950543
199002,18.3607984243
199003,19.1136326597
199004,20.4520051643
199005,20.7238624225
199006,20.8911583887
199007,21.0375434335
199008,21.3721363209
199009,22.1667952641
199010,22.6477731963
199011,23.2751352183
199012,23.2542223869
199101,23.6097281057
199102,24.1325297907
199103,24.9899243631
199104,25.7636714299
199105,25.4709022953
199106,25.0108371945
199107,24.9062768575
199108,24.7598918127
199109,24.4252989253
199110,24.0279694537
199111,22.9823660837
199112,22.2086190169
199201,22.1667952641
199202,22.1249705563
199203,22.1249705563
199204,21.9576745901
199205,21.4557847815
199206,20.9748068493
199207,20.8702465123
199208,21.3094006917
199209,21.7485539161
199210,21.6230817027
199211,21.4766966579
199212,21.2466641075
199301,21.3303125681
199302,21.6649054555
199303,21.6021688713
199304,21.4139610287
199305,21.2048403547
199306,20.9538949729
199307,20.8911583887
199308,20.8493346359
199309,20.7865980517
199310,20.7447742989
199311,20.7238624225
199312,20.6611258383
199401,20.7029505461
199402,20.8284227595
199403,20.8493346359
199404,20.8284227595
199405,20.7865980517
199406,20.7656861753
199407,20.7656861753
199408,20.7865980517
199409,20.9120712201
199410,20.9120712201
199411,20.9120712201
199412,20.9120712201
199501,20.9120712201
199502,20.9329830965
199503,20.9748068493
199504,21.0584553099
199505,20.9748068493
199506,20.9748068493
199507,20.9538949729
199508,21.0375434335
199509,21.0584553099
199510,20.9748068493
199511,20.9329830965
199512,20.9120712201
199601,20.9748068493
199602,21.0166315571
199603,21.0375434335
199604,21.0375434335
199605,21.0166315571
199606,21.0166315571
199607,21.0375434335
199608,21.1421037705
199609,21.4139610287
199610,21.4557847815
199611,21.5603451185
199612,21.7903776689
199701,22.4804762751
199702,22.8987176231
199703,22.8359810389
199704,22.7941572861
199705,22.7314207019
199706,22.7314207019
199707,22.7314207019
199708,22.8568938703
199709,23.1287501735
199710,23.1287501735
199711,23.0241898365
199712,22.9196294995
199801,22.6059484885
199802,22.1040586799
199803,21.2675759839
199804,20.2637963667
199805,19.5109621313
199806,19.1763692439
199807,19.3436652101
199808,19.6155224683
199809,19.4482255471
199810,19.0927207833
199811,18.9254238621
199812,19.5736987155
199901,20.1801488611
199902,20.2637963667
199903,20.4101814115
199904,20.5147417485
199905,20.6820377147
199906,20.8284227595
199907,21.1630156469
199908,21.6439935791
199909,22.0413230507
199910,22.0204102193
199911,21.9158498823
199912,22.0204102193
200001,22.2713556011
200002,22.6059484885
200003,22.8150691625
200004,22.8150691625
200005,22.7941572861
