year,city,pir_numbeo,p2r_center,p2r_outside,yield_center
2009,北京,22.3,23.9,22.7,4.2
2009,上海,18.1,17.0,20.2,5.9
2009,首尔,21.3,77.3,75.6,1.3
2009,新加坡,14.4,22.4,17.6,4.5
2009,东京,10.5,41.5,28.4,2.4
2009,旧金山,7.0,20.9,18.4,4.8
2009,纽约,7.9,26.6,20.0,3.8
2009,香港,21.2,41.1,26.4,2.4
2010,北京,22.3,22.3,22.2,4.5
2010,上海,20.7,20.2,17.7,4.9
2010,首尔,16.3,45.2,72.8,2.2
2010,新加坡,14.4,28.3,27.1,3.5
2010,东京,11.6,47.0,34.1,2.1
2010,旧金山,8.2,26.3,23.9,3.8
2010,纽约,8.4,21.2,21.9,4.7
2011,深圳,39.3,29.7,23.8,3.4
2011,北京,26.4,22.1,27.3,4.5
2011,上海,40.3,30.5,31.0,3.3
2011,广州,23.3,36.1,36.8,2.8
2011,首尔,15.4,51.0,60.4,2.0
2011,台北,19.9,68.2,43.0,1.5
2011,新加坡,17.1,26.6,24.2,3.8
2011,东京,10.2,27.7,21.2,3.6
2011,旧金山,9.9,16.2,18.4,6.2
2011,纽约,10.4,18.7,16.7,5.3
2011,香港,19.6,29.5,22.6,3.4
2012,深圳,41.2,28.2,15.6,3.6
2012,北京,28.6,27.1,30.0,3.7
2012,上海,30.4,36.1,34.2,2.8
2012,广州,28.1,25.1,43.4,4.0
2012,首尔,11.0,36.8,33.8,2.7
2012,台北,27.7,80.9,54.9,1.2
2012,新加坡,16.6,28.4,21.7,3.5
2012,东京,19.0,35.7,35.1,2.8
2012,旧金山,8.7,12.6,14.7,7.9
2012,纽约,10.7,17.6,16.0,5.7
2012,香港,30.7,47.0,38.7,2.1
2013,深圳,35.1,33.3,24.9,3.0
2013,北京,30.1,38.0,39.0,2.6
2013,上海,28.4,37.0,33.7,2.7
2013,广州,28.7,25.9,34.2,3.9
2013,首尔,10.4,29.1,27.0,3.4
2013,台北,27.6,76.2,32.7,1.3
2013,新加坡,25.6,28.1,25.0,3.6
2013,东京,15.0,22.3,51.1,4.5
2013,旧金山,7.2,13.9,16.9,7.2
2013,纽约,9.0,18.8,10.2,5.3
2013,香港,17.0,23.6,24.2,4.2
2014,深圳,26.0,32.4,26.2,3.1
2014,北京,34.4,37.9,39.8,2.6
2014,上海,28.6,31.1,28.0,3.2
2014,广州,26.7,34.5,38.2,2.9
2014,首尔,13.5,34.6,23.9,2.9
2014,台北,22.2,65.3,47.9,1.5
2014,新加坡,23.0,26.5,23.4,3.8
2014,东京,7.9,18.5,25.3,5.4
2014,旧金山,7.4,11.6,15.3,8.6
2014,纽约,7.9,14.5,11.5,6.9
2014,香港,25.9,28.5,27.9,3.5
2015,深圳,20.8,39.4,36.5,2.5
2015,北京,33.1,36.5,37.5,2.7
2015,上海,26.7,33.2,32.7,3.0
2015,广州,25.4,39.8,43.7,2.5
2015,首尔,14.2,37.0,27.6,2.7
2015,台北,25.8,69.8,60.6,1.4
2015,新加坡,21.8,28.1,24.6,3.6
2015,东京,8.7,20.6,26.7,4.9
2015,旧金山,8.3,15.5,16.2,6.4
2015,纽约,8.9,15.3,13.8,6.5
2015,香港,36.8,41.7,36.0,2.4
2016,深圳,30.0,50.7,52.9,2.0
2016,北京,33.5,44.4,38.4,2.3
2016,上海,30.2,45.8,38.3,2.2
2016,广州,18.4,39.3,37.7,2.5
2016,首尔,16.6,41.5,25.2,2.4
2016,台北,26.0,96.5,80.1,1.0
2016,新加坡,23.2,36.5,31.3,2.7
2016,东京,26.0,57.6,50.2,1.7
2016,旧金山,13.7,17.5,16.0,5.7
2016,纽约,21.6,27.6,26.9,3.6
2016,香港,37.6,51.2,46.7,2.0
2017,深圳,44.4,76.6,68.3,1.3
2017,北京,33.8,46.2,37.2,2.2
2017,上海,32.6,49.9,43.3,2.0
2017,广州,25.1,47.0,38.9,2.1
2017,首尔,17.8,47.4,34.9,2.1
2017,台北,15.6,66.1,56.3,1.5
2017,新加坡,21.6,36.4,27.4,2.7
2017,东京,19.9,51.4,45.5,1.9
2017,旧金山,12.1,16.0,15.5,6.3
2017,纽约,12.9,19.5,19.9,5.1
2017,香港,36.1,44.3,44.8,2.3
2018,深圳,40.3,78.9,76.3,1.3
2018,北京,48.1,72.3,60.7,1.4
2018,上海,42.8,51.2,55.1,2.0
2018,广州,20.9,41.2,35.4,2.4
2018,首尔,18.1,51.7,55.3,1.9
2018,台北,17.8,67.1,58.9,1.5
2018,新加坡,22.2,37.5,31.6,2.7
2018,东京,13.8,41.3,36.0,2.4
2018,旧金山,12.3,16.0,14.7,6.2
2018,纽约,12.3,19.0,16.9,5.3
2018,香港,41.1,51.4,52.3,1.9
2019,深圳,42.5,80.1,69.3,1.2
2019,北京,45.3,65.6,53.8,1.5
2019,上海,45.1,58.9,60.2,1.7
2019,广州,28.9,58.9,55.6,1.7
2019,首尔,20.7,72.5,54.4,1.4
2019,台北,32.2,46.1,37.8,2.2
2019,新加坡,21.6,42.1,37.0,2.4
2019,东京,13.4,40.8,32.2,2.5
2019,旧金山,9.3,17.4,17.4,5.7
2019,纽约,11.7,20.1,14.7,5.0
2019,香港,49.4,54.5,53.8,1.8
2020,深圳,44.9,77.6,69.2,1.3
2020,北京,44.2,60.4,49.4,1.7
2020,上海,41.5,50.8,50.9,2.0
2020,广州,33.2,67.3,63.5,1.5
2020,首尔,24.0,72.8,58.3,1.4
2020,台北,33.1,96.7,81.0,1.0
2020,新加坡,22.3,43.0,36.0,2.3
2020,东京,14.0,39.0,36.8,2.6
2020,旧金山,7.8,17.0,16.1,5.9
2020,纽约,10.8,20.4,17.4,4.9
2020,香港,47.5,56.5,54.7,1.8
2021,深圳,46.3,76.6,71.9,1.3
2021,北京,41.7,60.8,49.9,1.6
2021,上海,36.0,50.1,49.3,2.0
2021,广州,30.5,67.9,64.7,1.5
2021,首尔,28.9,87.6,70.2,1.1
2021,台北,31.5,76.6,73.3,1.3
2021,新加坡,19.4,41.3,32.7,2.4
2021,东京,15.4,37.8,42.2,2.6
2021,旧金山,8.0,19.7,17.6,5.1
2021,纽约,10.1,21.4,18.7,4.7
2021,香港,45.2,61.6,57.6,1.6
2022,深圳,44.0,95.0,77.9,1.1
2022,北京,52.2,67.3,62.0,1.5
2022,上海,43.8,55.1,51.2,1.8
2022,广州,35.2,74.7,69.6,1.3
2022,首尔,32.3,94.1,75.0,1.1
2022,台北,31.6,75.1,70.0,1.3
2022,新加坡,17.5,39.1,31.6,2.6
2022,东京,13.3,36.4,39.4,2.7
2022,旧金山,7.1,18.1,17.6,5.5
2022,纽约,9.9,21.7,17.2,4.6
2022,香港,46.9,63.4,67.7,1.6
2023,深圳,40.1,94.0,81.2,1.1
2023,北京,45.8,62.7,61.0,1.6
2023,上海,46.6,60.8,62.2,1.6
2023,广州,37.3,96.1,69.9,1.0
2023,首尔,30.8,92.8,69.0,1.1
2023,台北,29.5,86.2,75.2,1.2
2023,新加坡,15.5,30.4,21.3,3.3
2023,东京,12.6,32.6,35.1,3.1
2023,旧金山,9.2,16.4,18.7,6.1
2023,纽约,10.2,17.7,18.5,5.6
2023,香港,44.9,58.6,58.8,1.7
2024,深圳,33.7,75.3,74.4,1.3
2024,北京,33.7,62.3,61.4,1.6
2024,上海,47.9,65.9,66.5,1.5
2024,广州,33.0,93.7,60.5,1.1
2024,首尔,24.9,77.3,76.5,1.3
2024,台北,28.8,81.9,54.5,1.2
2024,新加坡,14.9,30.4,27.6,3.3
2024,东京,11.9,31.8,34.9,3.1
2024,旧金山,7.1,17.2,18.6,5.8
2024,纽约,11.0,17.0,23.6,5.9
2024,香港,32.1,54.2,50.5,1.8
2025,深圳,27.8,69.5,67.0,1.4
2025,北京,34.7,64.4,57.9,1.6
2025,上海,34.0,62.1,63.9,1.6
